,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,New York,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,St. Lawrence,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates
69,12247,,,,,,,,,,,,,,14222,,,,,,,,,,,,,14683,,11597,10116,,,13290,,,,,,,11435,,,,,,,,,,,11794,,,,,,,,10602,,
70,12248,,,,,,,,,,,,,,14223,,,,,,,,,,,,,14692,,11598,10117,,,,,,,,,,11436,,,,,,,,,,,11795,,,,,,,,10603,,
71,12249,,,,,,,,,,,,,,14224,,,,,,,,,,,,,14694,,11599,10118,,,,,,,,,,11439,,,,,,,,,,,11796,,,,,,,,10604,,
72,12250,,,,,,,,,,,,,,14225,,,,,,,,,,,,,,,11701,10119,,,,,,,,,,11451,,,,,,,,,,,11798,,,,,,,,10605,,
73,12252,,,,,,,,,,,,,,14226,,,,,,,,,,,,,,,11702,10120,,,,,,,,,,11499,,,,,,,,,,,11901,,,,,,,,10606,,
74,12255,,,,,,,,,,,,,,14227,,,,,,,,,,,,,,,11709,10121,,,,,,,,,,11559,,,,,,,,,,,11930,,,,,,,,10607,,
75,12256,,,,,,,,,,,,,,14228,,,,,,,,,,,,,,,11710,10122,,,,,,,,,,11580,,,,,,,,,,,11931,,,,,,,,10610,,
76,12257,,,,,,,,,,,,,,14231,,,,,,,,,,,,,,,11714,10123,,,,,,,,,,11690,,,,,,,,,,,11932,,,,,,,,10701,,
77,12260,,,,,,,,,,,,,,14233,,,,,,,,,,,,,,,11724,10124,,,,,,,,,,11691,,,,,,,,,,,11933,,,,,,,,10702,,
78,12261,,,,,,,,,,,,,,14240,,,,,,,,,,,,,,,11732,10125,,,,,,,,,,11692,,,,,,,,,,,11934,,,,,,,,10703,,
79,12288,,,,,,,,,,,,,,14241,,,,,,,,,,,,,,,11735,10126,,,,,,,,,,11693,,,,,,,,,,,11935,,,,,,,,10704,,
80,12303,,,,,,,,,,,,,,14260,,,,,,,,,,,,,,,11736,10128,,,,,,,,,,11694,,,,,,,,,,,11937,,,,,,,,10705,,
81,12304,,,,,,,,,,,,,,14261,,,,,,,,,,,,,,,11743,10129,,,,,,,,,,11695,,,,,,,,,,,11939,,,,,,,,10706,,
82,12306,,,,,,,,,,,,,,14263,,,,,,,,,,,,,,,11753,10130,,,,,,,,,,11697,,,,,,,,,,,11940,,,,,,,,10707,,
83,12309,,,,,,,,,,,,,,14264,,,,,,,,,,,,,,,11756,10131,,,,,,,,,,,,,,,,,,,,,11941,,,,,,,,10708,,
84,12460,,,,,,,,,,,,,,14265,,,,,,,,,,,,,,,11758,10132,,,,,,,,,,,,,,,,,,,,,11942,,,,,,,,10709,,
85,12469,,,,,,,,,,,,,,14267,,,,,,,,,,,,,,,11762,10133,,,,,,,,,,,,,,,,,,,,,11944,,,,,,,,10710,,
86,,,,,,,,,,,,,,,14269,,,,,,,,,,,,,,,11765,10138,,,,,,,,,,,,,,,,,,,,,11946,,,,,,,,10801,,
87,,,,,,,,,,,,,,,14270,,,,,,,,,,,,,,,11771,10149,,,,,,,,,,,,,,,,,,,,,11947,,,,,,,,10802,,
88,,,,,,,,,,,,,,,14272,,,,,,,,,,,,,,,11773,10150,,,,,,,,,,,,,,,,,,,,,11948,,,,,,,,10803,,
89,,,,,,,,,,,,,,,14273,,,,,,,,,,,,,,,11774,10151,,,,,,,,,,,,,,,,,,,,,11949,,,,,,,,10804,,
90,,,,,,,,,,,,,,,14276,,,,,,,,,,,,,,,11783,10152,,,,,,,,,,,,,,,,,,,,,11950,,,,,,,,10805,,
